"player_name","first_name_punc","last_name_punc","first_name_lower","last_name_lower","last_name_suffix","bbref_link","bbref_id","first_season","last_season","espn_link","espn_number","espn_id","first_year_in_school","last_year_in_school","school_1_name","school_1_id","school_2_name","school_2_id","sport_ref_id","school_3_name","school_3_id"
"Aaron McKie","Aaron","McKie","aaron","mckie",NA,"m/mckieaa01","mckieaa01",2005,2007,"539/aaron-mckie",539,"aaron-mckie",NA,NA,NA,"temple",NA,NA,"aaron-mckie-1",NA,NA
"Aaron Williams","Aaron","Williams","aaron","williams",NA,"w/williaa01","williaa01",2005,2008,"923/aaron-williams",923,"aaron-williams",NA,NA,NA,"xavier",NA,NA,"aaron-williams-1",NA,NA
"Adonal Foyle","Adonal","Foyle","adonal","foyle",NA,"f/foylead01","foylead01",2005,2009,"254/adonal-foyle",254,"adonal-foyle",NA,NA,NA,"colgate",NA,NA,"adonal-foyle-1",NA,NA
"Adrian Griffin","Adrian","Griffin","adrian","griffin",NA,"g/griffad01","griffad01",2005,2008,"285/adrian-griffin",285,"adrian-griffin",NA,NA,NA,"seton-hall",NA,NA,"adrian-griffin-1",NA,NA
"Al Harrington","Al","Harrington","al","harrington",NA,"h/harrial01","harrial01",2005,2014,"308/al-harrington",308,"al-harrington",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Al Jefferson","Al","Jefferson","al","jefferson",NA,"j/jeffeal01","jeffeal01",2005,2018,"2389/al-jefferson",2389,"al-jefferson",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alan Henderson","Alan","Henderson","alan","henderson",NA,"h/hendeal01","hendeal01",2005,2007,"322/alan-henderson",322,"alan-henderson",NA,NA,NA,"indiana",NA,NA,"alan-henderson-1",NA,NA
"Aleksandar Radojevic","Aleksandar","Radojevic","aleksandar","radojevic",NA,"r/radojal01","radojal01",2005,2005,"683/aleksandar-radojevic",683,"aleksandar-radojevic",1998,1999,"Barton County Community College","bartonccc",NA,NA,NA,NA,NA
"Alex Garcia","Alex","Garcia","alex","garcia",NA,"g/garcial01","garcial01",2005,2005,"2233/alex-garcia",2233,"alex-garcia",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Allan Houston","Allan","Houston","allan","houston",NA,"h/houstal01","houstal01",2005,2005,"349/allan-houston",349,"allan-houston",NA,NA,NA,"tennessee",NA,NA,"allan-houston-1",NA,NA
"Allen Iverson","Allen","Iverson","allen","iverson",NA,"i/iversal01","iversal01",2005,2010,"366/allen-iverson",366,"allen-iverson",NA,NA,NA,"georgetown",NA,NA,"allen-iverson-1",NA,NA
"Alonzo Mourning","Alonzo","Mourning","alonzo","mourning",NA,"m/mournal01","mournal01",2005,2008,"580/alonzo-mourning",580,"alonzo-mourning",NA,NA,NA,"georgetown",NA,NA,"alonzo-mourning-1",NA,NA
"Amar'e Stoudemire","Amar'e","Stoudemire","amare","stoudemire",NA,"s/stoudam01","stoudam01",2005,2016,"1727/amar'e-stoudemire",1727,"amar'e-stoudemire",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Anderson Varejao","Anderson","Varejao","anderson","varejao",NA,"v/varejan01","varejan01",2005,2017,"2419/anderson-varejao",2419,"anderson-varejao",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Andre Barrett","Andre","Barrett","andre","barrett",NA,"b/barrean01","barrean01",2005,2008,"2509/andre-barrett",2509,"andre-barrett",NA,NA,NA,"seton-hall",NA,NA,"andre-barrett-1",NA,NA
"Andre Emmett","Andre","Emmett","andre","emmett",NA,"e/emmetan01","emmetan01",2005,2012,"2431/andre-emmett",2431,"andre-emmett",NA,NA,NA,"texas-tech",NA,NA,"andre-emmett-1",NA,NA
"Andre Iguodala","Andre","Iguodala","andre","iguodala",NA,"i/iguodan01","iguodan01",2005,2019,"2386/andre-iguodala",2386,"andre-iguodala",NA,NA,NA,"arizona",NA,NA,"andre-iguodala-1",NA,NA
"Andre Miller","Andre","Miller","andre","miller",NA,"m/millean02","millean02",2005,2016,"557/andre-miller",557,"andre-miller",NA,NA,NA,"utah",NA,NA,"andre-miller-1",NA,NA
"Andrei Kirilenko","Andrei","Kirilenko","andrei","kirilenko",NA,"k/kirilan01","kirilan01",2005,2015,"434/andrei-kirilenko",434,"andrei-kirilenko",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Andres Nocioni","Andres","Nocioni","andres","nocioni",NA,"n/nocioan01","nocioan01",2005,2012,"2456/andres-nocioni",2456,"andres-nocioni",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Andrew DeClercq","Andrew","DeClercq","andrew","declercq",NA,"d/declean01","declean01",2005,2005,"196/andrew-declercq",196,"andrew-declercq",NA,NA,NA,"florida",NA,NA,"andrew-declercq-1",NA,NA
"Andris Biedrins","Andris","Biedrins","andris","biedrins",NA,"b/biedran01","biedran01",2005,2014,"2427/andris-biedrins",2427,"andris-biedrins",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Anfernee Hardaway","Anfernee","Hardaway","anfernee","hardaway",NA,"h/hardaan01","hardaan01",2005,2008,"302/anfernee-hardaway",302,"anfernee-hardaway",NA,NA,NA,"memphis",NA,NA,"anfernee-hardaway-1",NA,NA
"Ansu Sesay","Ansu","Sesay","ansu","sesay",NA,"s/sesayan01","sesayan01",2005,2005,"767/ansu-sesay",767,"ansu-sesay",NA,NA,NA,"mississippi",NA,NA,"ansu-sesay-1",NA,NA
"Antawn Jamison","Antawn","Jamison","antawn","jamison",NA,"j/jamisan01","jamisan01",2005,2014,"385/antawn-jamison",385,"antawn-jamison",NA,NA,NA,"north-carolina",NA,NA,"antawn-jamison-1",NA,NA
"Anthony Carter","Anthony","Carter","anthony","carter",NA,"c/cartean01","cartean01",2005,2012,"137/anthony-carter",137,"anthony-carter",NA,NA,NA,"hawaii",NA,NA,"anthony-carter-1",NA,NA
"Anthony Goldwire","Anthony","Goldwire","anthony","goldwire",NA,"g/goldwan01","goldwan01",2005,2006,"275/anthony-goldwire",275,"anthony-goldwire",NA,NA,NA,"houston",NA,NA,"anthony-goldwire-1",NA,NA
"Anthony Johnson","Anthony","Johnson","anthony","johnson",NA,"j/johnsan02","johnsan02",2005,2010,"396/anthony-johnson",396,"anthony-johnson",NA,NA,NA,"college-of-charleston",NA,NA,"anthony-johnson-1",NA,NA
"Anthony Miller","Anthony","Miller","anthony","miller",NA,"m/millean01","millean01",2005,2005,"554/anthony-miller",554,"anthony-miller",NA,NA,NA,"michigan-state",NA,NA,"anthony-miller-1",NA,NA
"Anthony Peeler","Anthony","Peeler","anthony","peeler",NA,"p/peelean01","peelean01",2005,2005,"642/anthony-peeler",642,"anthony-peeler",NA,NA,NA,"missouri",NA,NA,"anthony-peeler-1",NA,NA
